city_ascii,admin_name
Adrar,Adrar
Reggane,Adrar
Timoktene,Adrar
Tsabit,Adrar
Zaouiet Kounta,Adrar
Sali,Adrar
Aougrout,Adrar
Charouine,Adrar
Akabli,Adrar
Fenoughil,Adrar
Tamentit,Adrar
Khemis Miliana,Aïn Defla
Ain Defla,Aïn Defla
El Attaf,Aïn Defla
Miliana,Aïn Defla
Djendel,Aïn Defla
Sidi Lakhdar,Aïn Defla
Theniet el Had,Aïn Defla
El Abadia,Aïn Defla
Ouamri,Aïn Defla
Ain Lechiakh,Aïn Defla
Ain Temouchent,Aïn Temouchent
Beni Saf,Aïn Temouchent
Hammam Bou Hadjar,Aïn Temouchent
Terga,Aïn Temouchent
El Amria,Aïn Temouchent
El Malah,Aïn Temouchent
Chaabat el Leham,Aïn Temouchent
Sidi Ben Adda,Aïn Temouchent
'Ain el Arbaa,Aïn Temouchent
Hassi el Ghella,Aïn Temouchent
'Ain Tolba,Aïn Temouchent
Oued Sebbah,Aïn Temouchent
Tamzoura,Aïn Temouchent
Algiers,Alger
Bordj el Kiffan,Alger
Bab Ezzouar,Alger
Dar el Beida,Alger
Birkhadem,Alger
Rouiba,Alger
Ain Taya,Alger
Bordj el Bahri,Alger
El Marsa,Alger
Reghaia,Alger
Annaba,Annaba
Drean,Annaba
El Hadjar,Annaba
Oued el Aneb,Annaba
Nechmeya,Annaba
Batna,Batna
Barika,Batna
Merouana,Batna
Ain Touta,Batna
Arris,Batna
N'Gaous,Batna
Tazoult-Lambese,Batna
Bouzina,Batna
Teniet el Abed,Batna
Ksar Belezma,Batna
Bechar,Béchar
Abadla,Béchar
Kenadsa,Béchar
Beni Ounif,Béchar
Bejaia,Bejaïa
Akbou,Bejaïa
Kherrata,Bejaïa
El Kseur,Bejaïa
Barbacha,Bejaïa
Tizi-n-Bechar,Bejaïa
Tichi,Bejaïa
Adekar Kebouche,Bejaïa
Ziama Mansouria,Bejaïa
Toudja,Bejaïa
Seddouk Oufella,Bejaïa
Boukhralfa,Bejaïa
Amalou,Bejaïa
Tifra,Bejaïa
Beni Abbes,Béni Abbès
Biskra,Biskra
Sidi Khaled,Biskra
Sidi Okba,Biskra
Foughala,Biskra
Lioua,Biskra
Menaa,Biskra
Djemmorah,Biskra
Bouchagroun,Biskra
M'Chouneche,Biskra
'Ain Naga,Biskra
El Outaya,Biskra
Lichana,Biskra
Chetma,Biskra
Blida,Blida
Boufarik,Blida
Oulad Yaich,Blida
Meftah,Blida
Sidi Moussa,Blida
Bougara,Blida
Souma,Blida
Beni Tamou,Blida
Ouled Slama Tahta,Blida
Chebli,Blida
Beni Mered,Blida
Ouled Chebel,Blida
Bordj Mokhtar,Bordj Badji Mokhtar
Bordj Bou Arreridj,Bordj Bou Arréridj
Ras el Oued,Bordj Bou Arréridj
Khelil,Bordj Bou Arréridj
Bordj Ghdir,Bordj Bou Arréridj
Mansourah,Bordj Bou Arréridj
El Hammadia,Bordj Bou Arréridj
Bir Kasdali,Bordj Bou Arréridj
El Achir,Bordj Bou Arréridj
Medjana,Bordj Bou Arréridj
El Ach,Bordj Bou Arréridj
Melouza,Bordj Bou Arréridj
Galbois,Bordj Bou Arréridj
'Ain Taghrout,Bordj Bou Arréridj
Rabta,Bordj Bou Arréridj
Bel Imour,Bordj Bou Arréridj
Bordj Zemoura,Bordj Bou Arréridj
Sidi Embarek,Bordj Bou Arréridj
Tixter,Bordj Bou Arréridj
Tassera,Bordj Bou Arréridj
Bouira,Bouira
Lakhdaria,Bouira
Sour el Ghozlane,Bouira
Draa el Mizan,Bouira
Ain Bessem,Bouira
Tazmalt,Bouira
Illiltene,Bouira
Kadiria,Bouira
M'Chedallah,Bouira
Aomar,Bouira
Chorfa,Bouira
Guerouma,Bouira
Djebahia,Bouira
Ouled Sidi Brahim,Bouira
Takerbouzt,Bouira
El Hachimia,Bouira
El Esnam,Bouira
El Adjiba,Bouira
Bechloul,Bouira
Bordj Okhriss,Bouira
Ouled Rached,Bouira
Ain el Hadjar,Bouira
Khemis el Khechna,Boumerdes
Bordj Menaiel,Boumerdes
Boudouaou,Boumerdes
Ouled Moussa,Boumerdes
Boumerdes,Boumerdes
Dellys,Boumerdes
Isser,Boumerdes
Draa Ben Khedda,Boumerdes
Chabet el Ameur,Boumerdes
Tizi Gheniff,Boumerdes
Ouled Haddaj,Boumerdes
Zemmouri,Boumerdes
Beni Amrane,Boumerdes
Makouda,Boumerdes
Tadmait,Boumerdes
Naciria,Boumerdes
Djinet,Boumerdes
Thenia,Boumerdes
Arbatache,Boumerdes
Sidi Daoud,Boumerdes
Baghlia,Boumerdes
Tidjelabine,Boumerdes
Afir,Boumerdes
Si Mustapha,Boumerdes
Sidi Namane,Boumerdes
Boudouaou el Bahri,Boumerdes
Ben N'Choud,Boumerdes
Chlef,Chlef
Boukadir,Chlef
Oued Sly,Chlef
Oued Fodda,Chlef
Tenes,Chlef
Ouled Fares,Chlef
Sendjas,Chlef
Ouled Ben Abd el Kader,Chlef
Taougrite,Chlef
Sidi Akkacha,Chlef
Zeboudja,Chlef
El Karimia,Chlef
Beni Rached,Chlef
Bouzeghaia,Chlef
Oum Drou,Chlef
Beni Haoua,Chlef
Abou el Hassan,Chlef
Sidi Merouane,Chlef
Herenfa,Chlef
Damous,Chlef
Harchoune,Chlef
Labiod Medjadja,Chlef
